Benchmark,Algorithms,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Mean,Std
,MOPSO-IVT,0.250283693,0.222883884,0.209965946,0.213018575,0.189768459,0.223377359,0.222744411,0.159194435,0.227410314,0.226013452,0.207892911,0.186887992,0.198333837,0.185821228,0.186042089,0.193133695,0.214826144,0.242728581,0.211147829,0.202893056,0.200435767,0.190297554,0.209921799,0.209478222,0.174928661,0.205916604,0.185270955,0.228859203,0.227931925,0.207804766,0.207173778,0.020115126
,RT-MOPSO,0.206950794,0.237359233,0.188682115,0.230074987,0.20800125,0.268421504,0.231680461,0.20335186,0.214510147,0.200595506,0.241746075,0.254523046,0.248489952,0.269049747,0.268177449,0.279075147,0.239458364,0.236993158,0.253925348,0.241031567,0.195126208,0.227240398,0.228060625,0.229248673,0.244376878,0.24270536,0.237491049,0.266590843,0.272451772,0.221771185,0.23623869,0.024260242
,RL-MOPSO,0.208544023,0.223599922,0.202584579,0.208751602,0.204284612,0.204758861,0.20941327,0.199709437,0.200166514,0.198529444,0.174913191,0.236669119,0.207755149,0.225117168,0.195164905,0.210450303,0.19058822,0.214861649,0.201482432,0.225801832,0.235767025,0.200061541,0.21059642,0.146174287,0.190115147,0.188840913,0.192759982,0.209227617,0.225902333,0.215429557,0.205267368,0.017951368
WFG4,MOPSO-Gbest,0.26170947,0.268785673,0.291721316,0.23921532,0.28702043,0.310043316,0.253348867,0.272551608,0.344896581,0.276224456,0.277338727,0.254919038,0.283150242,0.286714083,0.325057005,0.268363267,0.286239882,0.313911258,0.28765218,0.269065112,0.285892673,0.258315158,0.280801442,0.244327739,0.290231053,0.251367087,0.23644174,0.272966797,0.278222036,0.307331321,0.278794163,0.024763874
,MOPSO-DPRT,0.216236143,0.223993732,0.228614464,0.220407131,0.220930823,0.249831451,0.24118172,0.230303371,0.226314056,0.226347663,0.248586296,0.244421853,0.244383015,0.24517452,0.243431282,0.238816478,0.233342529,0.242923227,0.22667961,0.242319381,0.230311605,0.236533274,0.209674604,0.229431988,0.235315875,0.230612788,0.217527643,0.237542931,0.225588889,0.221355636,0.232271133,0.010460904
,MOPSO-Von-Neumann,0.221154201,0.237929888,0.231666761,0.236926968,0.243439699,0.224054083,0.241358242,0.230812001,0.234403731,0.254796386,0.241701263,0.260259964,0.235308539,0.241419565,0.254336486,0.23820346,0.229965558,0.252648328,0.240115114,0.238288506,0.233127615,0.254443997,0.238695228,0.224309091,0.237661508,0.242279703,0.234683103,0.246454184,0.234880806,0.235971363,0.239043178,0.009377235
,MOPSO-IVT,0.216125724,0.220723921,0.228166484,0.24221535,0.220121103,0.239760408,0.24119506,0.230879166,0.231529143,0.239462849,0.245724688,0.229576478,0.243698607,0.208756565,0.220468433,0.238866297,0.219544639,0.225537384,0.215139982,0.23157936,0.235283353,0.225296173,0.241739996,0.232777876,0.240010504,0.237637374,0.234616397,0.230284994,0.227244332,0.235942782,0.230996847,0.009539326
,RT-MOPSO,0.260380559,0.260058954,0.253806295,0.256830572,0.2428564,0.260402984,0.235507154,0.256760372,0.267685255,0.245494038,0.253394881,0.261432541,0.238629795,0.253977968,0.265894929,0.245469009,0.249640905,0.248377511,0.241590463,0.251527286,0.231534901,0.263934701,0.236942705,0.260900131,0.239601187,0.251827728,0.245237306,0.238025273,0.248407879,0.265621925,0.251058387,0.010119031
,RL-MOPSO,0.222009723,0.232419053,0.241916424,0.225000959,0.233770912,0.232992244,0.231793897,0.235332541,0.22216268,0.211209533,0.231850535,0.222151136,0.228002659,0.221686402,0.238656132,0.249039211,0.232907192,0.230687281,0.231884074,0.222940691,0.221969427,0.219428741,0.239219539,0.233799316,0.235982193,0.226319847,0.223822944,0.22973918,0.236550816,0.25364604,0.230629711,0.00890034
WFG5,MOPSO-Gbest,0.739502526,0.739384779,0.726139894,0.729596698,0.720890451,0.741391686,0.720079576,0.750038483,0.754433275,0.698514066,0.741696914,0.729057587,0.734667456,0.775259289,0.717804118,0.752973811,0.781237567,0.741796866,0.755350949,0.726015443,0.722390402,0.690513459,0.749029554,0.754165943,0.733124607,0.751295723,0.755902152,0.694234613,0.690044457,0.727343394,0.734795858,0.022508225
,MOPSO-DPRT,0.249423091,0.266394231,0.229096947,0.296855981,0.24508837,0.256918469,0.228879179,0.285427627,0.230693224,0.270429767,0.244469066,0.238835634,0.248111175,0.21366267,0.275089282,0.263515043,0.276633364,0.2585014,0.236803107,0.233578359,0.259813347,0.233639717,0.235736535,0.251740065,0.251480533,0.247346723,0.264247415,0.266540961,0.256015687,0.250708865,0.252189195,0.018505162
,MOPSO-Von-Neumann,0.261366735,0.22214582,0.233560876,0.249926097,0.249651184,0.244169214,0.247703287,0.241134663,0.247660101,0.225577143,0.260381049,0.243717044,0.244298702,0.24244807,0.230541958,0.234647429,0.254724043,0.252114082,0.251948637,0.2611276,0.243002519,0.262844253,0.233118425,0.261789461,0.24808728,0.246284136,0.236996913,0.238823281,0.229224356,0.252295266,0.245043654,0.011064183
,MOPSO-IVT,0.250790827,0.239148955,0.238087464,0.246342479,0.221469432,0.269757014,0.267379428,0.252459853,0.254485481,0.257196232,0.235289568,0.268438471,0.225116907,0.259264897,0.239101239,0.277457628,0.233269736,0.23868067,0.238568719,0.267622826,0.289883914,0.264297431,0.252351103,0.283310521,0.225020373,0.257668175,0.250378264,0.235088245,0.262410409,0.259783421,0.252003989,0.017406048
,RT-MOPSO,0.247382672,0.250990567,0.241519463,0.234952976,0.256648367,0.24240937,0.230732751,0.2433907,0.254435641,0.240678769,0.225004133,0.262894284,0.230682107,0.246468358,0.252488622,0.247247954,0.236232094,0.252976068,0.245390188,0.257851775,0.2312187,0.250431003,0.224315033,0.234410041,0.236738316,0.245074534,0.250151748,0.237380023,0.247197517,0.261618815,0.243963753,0.01028241
,RL-MOPSO,0.227054874,0.235101406,0.262143934,0.253840351,0.250782434,0.256487053,0.225444217,0.247402241,0.233324727,0.246050059,0.266077519,0.248124761,0.233660818,0.249375512,0.225556365,0.252644821,0.236759971,0.245680452,0.233603446,0.251157267,0.236046085,0.246507219,0.250982478,0.244295091,0.246726106,0.227523134,0.237330273,0.227430342,0.236241225,0.259309497,0.243088789,0.011332049
WFG6,MOPSO-Gbest,0.404178819,0.424028874,0.592170908,0.456062662,0.452924434,0.423962177,0.426517084,0.459397811,0.387768211,0.426242914,0.390345102,0.459984041,0.525461378,0.433309927,0.469159073,0.453695389,0.480641137,0.447118376,0.39643102,0.445396775,0.467915107,0.497831349,0.407313685,0.387375735,0.408903343,0.386530543,0.484608766,0.43532742,0.470527922,0.456936114,0.44526887,0.044689754
,MOPSO-DPRT,0.281459652,0.332901485,0.294700397,0.34527248,0.274867674,0.300210004,0.338723791,0.263347326,0.296373418,0.306140872,0.333168404,0.286792715,0.251312281,0.263323289,0.272267823,0.336238575,0.267799835,0.385033809,0.306368164,0.243554177,0.278304679,0.311991053,0.297401442,0.30635824,0.284258676,0.28765604,0.27995678,0.350182678,0.277589377,0.303287243,0.298561413,0.032178956
,MOPSO-Von-Neumann,0.23752459,0.224716655,0.249635609,0.235008634,0.245539437,0.246207239,0.260406669,0.246204735,0.226973558,0.229869449,0.23281076,0.254999215,0.249018911,0.231064947,0.240174308,0.270821671,0.22456462,0.2640695,0.240524844,0.217782182,0.214611231,0.234166101,0.249724577,0.263886514,0.221617018,0.23327854,0.240968896,0.249879356,0.234537112,0.223149196,0.239791203,0.014373306
,MOPSO-IVT,0.241526013,0.229323327,0.217186498,0.23263329,0.242208921,0.223633258,0.247033544,0.227826395,0.241769011,0.20593543,0.226760466,0.239154925,0.216100886,0.232401672,0.23431891,0.227496996,0.254279471,0.227783473,0.22181743,0.250154577,0.230724621,0.239886592,0.237811568,0.202520693,0.24531863,0.20561825,0.22397129,0.257060182,0.220337234,0.221705508,0.230809969,0.013830081
