Benchmark,Algorithms,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Mean,Std
,RLT-MOPSO,0.028734309,0.018843441,0.028999584,0.020844876,0.022931613,0.022149984,0.019756081,0.033029542,0.024008585,0.01502054,0.023054876,0.020179199,0.019975409,0.02346912,0.027318789,0.023903504,0.029185078,0.021391019,0.032086125,0.030688734,0.016678521,0.020557206,0.024309457,0.016254916,0.025686058,0.02542857,0.027116614,0.019481968,0.024483741,0.029652655,0.02384067,0.004725124
DTLZ6,MOPSOCD,0.005791156,0.64805372,0.004709492,0.004698201,0.706901398,0.004674042,0.004765471,0.004617825,0.082472471,0.004720088,0.00472123,0.004797222,1.023215568,0.005217526,0.004673128,0.004967886,0.004756221,0.006596982,0.005243977,0.005717633,0.004630258,0.004805701,0.004825775,0.004803388,0.004693658,0.004744703,0.00458341,0.004807821,0.004845653,0.005549718,0.086320044,0.245691542
,SMPSO,0.999612034,3.376763666,1.017368368,1.030278724,1.955793681,0.363355719,1.383947424,1.909950763,2.899852889,1.33316956,2.031331047,1.142245038,2.001080056,1.096418911,0.959798195,2.929552519,0.005094962,0.648815647,1.099237162,1.002793392,1.061828484,0.243212088,0.005269994,2.157530103,1.995174453,0.971083974,2.242877906,1.94295952,1.069639964,2.415792853,1.44306097,0.852164923
,dMOPSO,0.032889882,0.033184175,0.03289461,0.032847645,0.033134535,0.033397942,0.032846361,0.033287776,0.03258921,0.033054142,0.032911081,0.0327312,0.032956404,0.032908991,0.032793905,0.033173684,0.032979419,0.032954558,0.032873499,0.032789663,0.032953945,0.032883513,0.032594604,0.032959392,0.033095594,0.032868394,0.03232382,0.032765779,0.033131376,0.033014776,0.032926329,0.000214598
,MOEADD,0.032520242,0.034268996,0.034531883,0.03193881,0.107536983,0.036442524,0.031747604,0.031701252,0.034639189,0.032287831,0.033401715,0.032633793,0.033047289,0.032212135,0.038214028,0.032219182,0.031210049,0.033845478,0.042043405,0.036204609,0.041006324,0.040827559,0.037615498,0.032519774,0.03552324,0.036839291,0.032117567,0.046828212,0.03307025,0.032750074,0.037391493,0.013753473
,RVEA,0.091646338,0.125717826,0.061618972,0.859575057,0.057172782,0.068300888,0.093403017,0.086728436,0.086149726,0.151132811,0.070535734,0.069052617,0.086913383,0.082402005,0.081109217,0.078903089,0.103387403,0.088875324,0.110874127,0.082541226,0.09545641,0.0865011,0.785347125,0.066643254,0.099743188,0.060013743,0.149393415,0.090792912,0.079191473,0.355211413,0.146811134,0.191514628
,PESAII,0.014639547,0.011605862,0.01110848,0.012543799,0.013262465,0.013292214,0.016999347,0.012233922,0.014948648,0.015165926,0.015686214,0.074584233,0.013336905,0.011906923,0.012990729,0.015599077,0.01271334,0.013045828,0.013305724,0.01643874,0.015357552,0.016506385,0.014942636,0.013497265,0.014633795,0.018040069,0.014034813,0.014526913,0.016581669,0.018990466,0.016417316,0.01114986
,RLT-MOPSO,0.006809246,0.006125704,0.006195362,0.004967157,0.005779107,0.007966702,0.00544386,0.006528735,0.00746152,0.005980276,0.005762557,0.00526219,0.007680548,0.006598627,0.007568676,0.008460298,0.006383189,0.006535764,0.006321378,0.006249421,0.006990901,0.005524299,0.006001475,0.010891292,0.006306589,0.00775744,0.006243187,0.005561868,0.006850285,0.006126514,0.006611139,0.001165821
DTLZ7,MOPSOCD,0.089697661,0.071792328,0.073920933,0.094061786,0.097455453,0.090670678,0.08486882,0.090603834,0.078757342,0.088671082,0.084264613,0.085857492,0.074428458,0.085947102,0.07998737,0.146609934,0.087865481,0.103426651,0.081672157,0.080848436,0.083837558,0.080633387,0.089577577,0.097107862,0.079488062,0.085438481,0.080021849,0.092174572,0.09117423,0.092165735,0.088100897,0.013234286
,SMPSO,0.84843002,0.799343319,0.152827781,0.309971035,0.434070679,0.498852066,0.578081711,0.207775473,0.345780352,0.420129359,0.836499967,0.982751703,0.831276065,0.520691244,0.355886263,1.428441617,0.36664266,0.352754719,0.38416072,0.642494671,0.938007011,0.502994002,0.732617107,0.20443452,0.351257503,0.353519295,0.688289405,0.34282878,0.412684809,0.301286851,0.53749269,0.284548791
,dMOPSO,0.129600546,0.136255163,0.959267313,0.143188563,0.144627239,0.13655315,0.137212985,0.147295196,0.823820174,0.152813034,0.134030634,0.13632081,0.141256527,0.131970477,0.14474777,0.853582346,0.142725064,0.955717274,0.145398536,0.145022609,0.146871886,0.133370052,0.139484155,0.139125856,0.152722368,0.9138967,0.13589638,0.131186604,0.136429188,0.141253197,0.267054727,0.289409962
,MOEADD,0.456472416,0.250369358,0.277506056,0.260931147,0.509815776,0.841523905,0.512388653,0.836514017,0.83365636,0.269013457,0.523940653,0.841654179,0.518868968,0.258480279,0.27653821,0.526714246,0.843391856,0.839571195,0.285010005,0.274149533,0.251432237,0.233610667,0.266469551,0.294069031,0.243269613,0.8413362,0.838922643,0.848017536,0.844080698,0.844785537,0.524750133,0.261939879
,RVEA,0.159773922,0.160457165,0.181394973,0.225577523,0.134313151,0.147859169,0.150920011,0.169603959,0.190141253,0.184528197,0.139666302,0.220784445,0.181267789,0.187551829,0.171459428,0.157522005,0.140278645,0.173213573,0.199031635,0.156086311,0.172547336,0.149335257,0.155955428,0.131904035,0.1519228,0.147542106,0.170904526,0.178140519,0.195067574,0.169959735,0.168490353,0.023283511
